Model,TBS1052C
Firmware Version,v2015-08-04-prequal4ch70_v1.3

Point Format,Y
Horizontal Units,S
Horizontal Scale,0.004
Sample Interval,3.2e-05
Filter Frequency,2e+08
Record Length,2000
Gating,0.0% to 100.0%
Probe Attenuation,10
Vertical Units,V
Vertical Offset,0
Vertical Scale,1
Label,
TIME,CH2
-6.400e-03,3.12
-6.368e-03,3.04
-6.336e-03,3
-6.304e-03,2.92
-6.272e-03,2.88
-6.240e-03,2.84
-6.208e-03,2.76
-6.176e-03,2.72
-6.144e-03,2.64
-6.112e-03,2.6
-6.080e-03,2.52
-6.048e-03,2.44
-6.016e-03,2.4
-5.984e-03,2.32
-5.952e-03,2.24
-5.920e-03,2.16
-5.888e-03,2.12
-5.856e-03,2.04
-5.824e-03,1.96
-5.792e-03,1.88
-5.760e-03,1.84
-5.728e-03,1.76
-5.696e-03,1.68
-5.664e-03,1.6
-5.632e-03,1.56
-5.600e-03,1.44
-5.568e-03,1.4
-5.536e-03,1.32
-5.504e-03,1.24
-5.472e-03,1.16
-5.440e-03,1.08
-5.408e-03,1
-5.376e-03,0.92
-5.344e-03,0.84
-5.312e-03,0.76
-5.280e-03,0.68
-5.248e-03,0.6
-5.216e-03,0.56
-5.184e-03,0.44
-5.152e-03,0.36
-5.120e-03,0.32
-5.088e-03,0.24
-5.056e-03,0.12
-5.024e-03,0.08
-4.992e-03,-0.04
-4.960e-03,-0.12
-4.928e-03,-0.16
-4.896e-03,-0.24
-4.864e-03,-0.32
-4.832e-03,-0.4
-4.800e-03,-0.48
-4.768e-03,-0.56
-4.736e-03,-0.64
-4.704e-03,-0.76
-4.672e-03,-0.8
-4.640e-03,-0.88
-4.608e-03,-0.96
-4.576e-03,-1.04
-4.544e-03,-1.16
-4.512e-03,-1.2
-4.480e-03,-1.28
-4.448e-03,-1.36
-4.416e-03,-1.44
-4.384e-03,-1.52
-4.352e-03,-1.6
-4.320e-03,-1.64
-4.288e-03,-1.72
-4.256e-03,-1.8
-4.224e-03,-1.84
-4.192e-03,-1.92
-4.160e-03,-2
-4.128e-03,-2.08
-4.096e-03,-2.12
-4.064e-03,-2.2
-4.032e-03,-2.28
-4.000e-03,-2.36
-3.968e-03,-2.44
-3.936e-03,-2.48
-3.904e-03,-2.52
-3.872e-03,-2.6
-3.840e-03,-2.64
-3.808e-03,-2.72
-3.776e-03,-2.76
-3.744e-03,-2.84
-3.712e-03,-2.88
-3.680e-03,-2.96
-3.648e-03,-3
-3.616e-03,-3.08
-3.584e-03,-3.12
-3.552e-03,-3.16
-3.520e-03,-3.2
-3.488e-03,-3.24
-3.456e-03,-3.32
-3.424e-03,-3.36
-3.392e-03,-3.4
-3.360e-03,-3.44
-3.328e-03,-3.48
-3.296e-03,-3.52
-3.264e-03,-3.56
-3.232e-03,-3.56
-3.200e-03,-3.64
-3.168e-03,-3.64
-3.136e-03,-3.68
-3.104e-03,-3.72
-3.072e-03,-3.76
-3.040e-03,-3.76
-3.008e-03,-3.8
-2.976e-03,-3.84
-2.944e-03,-3.84
-2.912e-03,-3.88
-2.880e-03,-3.88
-2.848e-03,-3.92
-2.816e-03,-3.92
-2.784e-03,-3.96
-2.752e-03,-3.96
-2.720e-03,-3.96
-2.688e-03,-3.96
-2.656e-03,-4
-2.624e-03,-4
-2.592e-03,-4
-2.560e-03,-4
-2.528e-03,-4
-2.496e-03,-4
-2.464e-03,-4
-2.432e-03,-4
-2.400e-03,-4
-2.368e-03,-4
